Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM2540627,"singles-BM0828-HSC-fresh-151027-41","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649930",SRX2649930,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540628,"singles-BM0828-HSC-fresh-151027-42","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649931",SRX2649931,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540629,"singles-BM0828-HSC-fresh-151027-43","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649932",SRX2649932,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540630,"singles-BM0828-HSC-fresh-151027-44","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649933",SRX2649933,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540631,"singles-BM0828-HSC-fresh-151027-45","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649934",SRX2649934,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540632,"singles-BM0828-HSC-fresh-151027-46","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649935",SRX2649935,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540633,"singles-BM0828-HSC-fresh-151027-47","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649936",SRX2649936,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540634,"singles-BM0828-HSC-fresh-151027-48","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649937",SRX2649937,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540635,"singles-BM0828-HSC-fresh-151027-49","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649938",SRX2649938,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540636,"singles-BM0828-HSC-fresh-151027-50","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649939",SRX2649939,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540637,"singles-BM0828-HSC-fresh-151027-51","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649940",SRX2649940,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540638,"singles-BM0828-HSC-fresh-151027-52","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649941",SRX2649941,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540639,"singles-BM0828-HSC-fresh-151027-53","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649942",SRX2649942,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540640,"singles-BM0828-HSC-fresh-151027-54","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649943",SRX2649943,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540641,"singles-BM0828-HSC-fresh-151027-55","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649944",SRX2649944,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540642,"singles-BM0828-HSC-fresh-151027-56","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649945",SRX2649945,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540643,"singles-BM0828-HSC-fresh-151027-57","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649946",SRX2649946,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540644,"singles-BM0828-HSC-fresh-151027-58","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649947",SRX2649947,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540645,"singles-BM0828-HSC-fresh-151027-59","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649948",SRX2649948,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540646,"singles-BM0828-HSC-fresh-151027-60","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649949",SRX2649949,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540647,"singles-BM0828-HSC-fresh-151027-61","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649950",SRX2649950,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540648,"singles-BM0828-HSC-fresh-151027-62","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649951",SRX2649951,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540649,"singles-BM0828-HSC-fresh-151027-63","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649952",SRX2649952,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540650,"singles-BM0828-HSC-fresh-151027-64","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649953",SRX2649953,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540651,"singles-BM0828-HSC-fresh-151027-65","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649954",SRX2649954,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540652,"singles-BM0828-HSC-fresh-151027-66","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649955",SRX2649955,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540653,"singles-BM0828-HSC-fresh-151027-67","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649956",SRX2649956,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540654,"singles-BM0828-HSC-fresh-151027-68","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649957",SRX2649957,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540655,"singles-BM0828-HSC-fresh-151027-69","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649958",SRX2649958,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540656,"singles-BM0828-HSC-fresh-151027-70","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649959",SRX2649959,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540657,"singles-BM0828-HSC-fresh-151027-71","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649960",SRX2649960,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540658,"singles-BM0828-HSC-fresh-151027-72","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649961",SRX2649961,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540659,"singles-BM0828-HSC-fresh-151027-73","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649962",SRX2649962,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540660,"singles-BM0828-HSC-fresh-151027-74","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649963",SRX2649963,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540661,"singles-BM0828-HSC-fresh-151027-75","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649964",SRX2649964,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540662,"singles-BM0828-HSC-fresh-151027-76","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649965",SRX2649965,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540663,"singles-BM0828-HSC-fresh-151027-77","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649966",SRX2649966,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540664,"singles-BM0828-HSC-fresh-151027-78","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649967",SRX2649967,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540665,"singles-BM0828-HSC-fresh-151027-79","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649968",SRX2649968,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540666,"singles-BM0828-HSC-fresh-151027-80","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649969",SRX2649969,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540667,"singles-BM0828-HSC-fresh-151027-81","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649970",SRX2649970,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540668,"singles-BM0828-HSC-fresh-151027-82","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649971",SRX2649971,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540669,"singles-BM0828-HSC-fresh-151027-83","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649972",SRX2649972,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540670,"singles-BM0828-HSC-fresh-151027-84","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649973",SRX2649973,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540671,"singles-BM0828-HSC-fresh-151027-85","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649974",SRX2649974,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540672,"singles-BM0828-HSC-fresh-151027-86","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649975",SRX2649975,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540673,"singles-BM0828-HSC-fresh-151027-87","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649976",SRX2649976,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540674,"singles-BM0828-HSC-fresh-151027-88","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649977",SRX2649977,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540675,"singles-BM0828-HSC-fresh-151027-89","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649978",SRX2649978,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540676,"singles-BM0828-HSC-fresh-151027-90","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649979",SRX2649979,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540677,"singles-BM0828-HSC-fresh-151027-91","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649980",SRX2649980,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540678,"singles-BM0828-HSC-fresh-151027-92","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649981",SRX2649981,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540679,"singles-BM0828-HSC-fresh-151027-93","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649982",SRX2649982,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540680,"singles-BM0828-HSC-fresh-151027-94","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649983",SRX2649983,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540681,"singles-BM0828-HSC-fresh-151027-95","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649984",SRX2649984,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540682,"singles-BM0828-HSC-fresh-151027-96","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649985",SRX2649985,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540683,"singles-BM0828-HSC-frozen-151027-1","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649986",SRX2649986,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540684,"singles-BM0828-HSC-frozen-151027-2","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649987",SRX2649987,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540685,"singles-BM0828-HSC-frozen-151027-3","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649988",SRX2649988,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540686,"singles-BM0828-HSC-frozen-151027-4","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649989",SRX2649989,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540687,"singles-BM0828-HSC-frozen-151027-5","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649990",SRX2649990,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540688,"singles-BM0828-HSC-frozen-151027-6","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649991",SRX2649991,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540689,"singles-BM0828-HSC-frozen-151027-7","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649992",SRX2649992,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540690,"singles-BM0828-HSC-frozen-151027-8","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649993",SRX2649993,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540691,"singles-BM0828-HSC-frozen-151027-9","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649994",SRX2649994,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540692,"singles-BM0828-HSC-frozen-151027-10","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649995",SRX2649995,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540693,"singles-BM0828-HSC-frozen-151027-11","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649996",SRX2649996,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540694,"singles-BM0828-HSC-frozen-151027-12","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649997",SRX2649997,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540695,"singles-BM0828-HSC-frozen-151027-13","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649998",SRX2649998,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540696,"singles-BM0828-HSC-frozen-151027-14","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649999",SRX2649999,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540697,"singles-BM0828-HSC-frozen-151027-15","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650000",SRX2650000,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540698,"singles-BM0828-HSC-frozen-151027-16","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650001",SRX2650001,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540699,"singles-BM0828-HSC-frozen-151027-17","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650002",SRX2650002,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540700,"singles-BM0828-HSC-frozen-151027-18","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650003",SRX2650003,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540701,"singles-BM0828-HSC-frozen-151027-19","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650004",SRX2650004,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540702,"singles-BM0828-HSC-frozen-151027-20","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650005",SRX2650005,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540703,"singles-BM0828-HSC-frozen-151027-21","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650006",SRX2650006,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540704,"singles-BM0828-HSC-frozen-151027-22","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650007",SRX2650007,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540705,"singles-BM0828-HSC-frozen-151027-23","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650008",SRX2650008,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540706,"singles-BM0828-HSC-frozen-151027-24","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650009",SRX2650009,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540707,"singles-BM0828-HSC-frozen-151027-25","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650010",SRX2650010,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540708,"singles-BM0828-HSC-frozen-151027-26","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650011",SRX2650011,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540709,"singles-BM0828-HSC-frozen-151027-27","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650012",SRX2650012,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540710,"singles-BM0828-HSC-frozen-151027-28","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650013",SRX2650013,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540711,"singles-BM0828-HSC-frozen-151027-29","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650014",SRX2650014,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540712,"singles-BM0828-HSC-frozen-151027-30","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650015",SRX2650015,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540713,"singles-BM0828-HSC-frozen-151027-31","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650016",SRX2650016,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540714,"singles-BM0828-HSC-frozen-151027-32","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650017",SRX2650017,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540715,"singles-BM0828-HSC-frozen-151027-33","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650018",SRX2650018,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540716,"singles-BM0828-HSC-frozen-151027-34","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650019",SRX2650019,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540717,"singles-BM0828-HSC-frozen-151027-35","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650020",SRX2650020,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540718,"singles-BM0828-HSC-frozen-151027-36","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650021",SRX2650021,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540719,"singles-BM0828-HSC-frozen-151027-37","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650022",SRX2650022,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540720,"singles-BM0828-HSC-frozen-151027-38","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650023",SRX2650023,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540721,"singles-BM0828-HSC-frozen-151027-39","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650024",SRX2650024,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540722,"singles-BM0828-HSC-frozen-151027-40","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650025",SRX2650025,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540723,"singles-BM0828-HSC-frozen-151027-41","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650026",SRX2650026,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540724,"singles-BM0828-HSC-frozen-151027-42","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650027",SRX2650027,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540725,"singles-BM0828-HSC-frozen-151027-43","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2650028",SRX2650028,"Jason Daniel Buenrostro","Apr 26, 2018"
